   148/299       18G   0.02556   0.02236  0.001678    0.0496       153       640    0.9101     0.827    0.8735    0.6132    0.5807   0.02761    0.0209  0.003231
   149/299       18G   0.02587   0.02239  0.001756   0.05001       164       640    0.9029    0.8278    0.8716    0.6029    0.5779   0.02765   0.02099  0.003181
   150/299       18G   0.02565   0.02203  0.001641   0.04932       134       640    0.8901    0.8382    0.8736    0.6169    0.5794   0.02765   0.02101  0.003336
   151/299       18G   0.02564   0.02238  0.001709   0.04972       193       640    0.8985     0.831    0.8717    0.6123    0.5769   0.02766   0.02101  0.003359
   152/299       18G    0.0256   0.02229  0.001657   0.04955       142       640    0.8998    0.8242    0.8711     0.613    0.5761   0.02766     0.021  0.003397
   153/299       18G   0.02525   0.02206  0.001633   0.04895       163       640    0.8896    0.8438    0.8724      0.61    0.5733   0.02767   0.02106  0.003356
   154/299       18G   0.02545   0.02247  0.001666   0.04958       141       640    0.8972    0.8344    0.8714    0.6172    0.5765   0.02761   0.02102  0.003432
   155/299       18G   0.02554   0.02191  0.001648    0.0491       156       640     0.899    0.8335    0.8694    0.6109    0.5752   0.02755   0.02094  0.003362
   156/299       18G   0.02518   0.02202  0.001724   0.04893       184       640    0.8883    0.8505    0.8748    0.6099    0.5765   0.02755   0.02092   0.00329
   157/299       18G   0.02515   0.02179  0.001694   0.04864       143       640    0.8898    0.8426     0.874    0.6159    0.5792   0.02753   0.02101   0.00323
   158/299       18G   0.02532   0.02193  0.001673   0.04892       220       640    0.8954    0.8358    0.8754    0.6156    0.5802   0.02751   0.02106  0.003196
   159/299       18G   0.02499   0.02171  0.001646   0.04834       129       640    0.8936    0.8434    0.8758     0.614    0.5785   0.02753   0.02109  0.003127
   160/299       18G   0.02539    0.0224  0.001605   0.04939       224       640    0.8883    0.8516    0.8748    0.6222    0.5828   0.02754   0.02109  0.003242
   161/299       18G   0.02524   0.02227  0.001673   0.04918       172       640    0.8865     0.851    0.8747      0.62    0.5835   0.02752   0.02108  0.003279
   162/299       18G   0.02496   0.02136  0.001679     0.048       181       640    0.9109    0.8248    0.8747    0.6193    0.5825   0.02747    0.0211  0.003327
   163/299       18G   0.02489   0.02151  0.001619   0.04802        98       640    0.9019    0.8325    0.8764    0.6197    0.5817    0.0275   0.02113  0.003335
   164/299       18G   0.02523   0.02209  0.001633   0.04895       138       640    0.9004    0.8343    0.8746    0.6231     0.583    0.0275   0.02113  0.003287
   165/299       18G   0.02477   0.02131   0.00156   0.04764        76       640     0.895     0.838    0.8709    0.6273    0.5816   0.02753   0.02123  0.003035
   166/299       18G    0.0245   0.02163  0.001593   0.04772       195       640     0.903    0.8301    0.8754    0.6239    0.5841   0.02751   0.02124  0.002784
   167/299       18G   0.02487   0.02186  0.001559   0.04829       200       640     0.898    0.8332    0.8715    0.6246    0.5852   0.02751   0.02121   0.00264
   168/299       18G   0.02441   0.02131  0.001608   0.04733       155       640    0.8939    0.8293    0.8669    0.6228    0.5826   0.02755   0.02123  0.002627
   169/299       18G   0.02456   0.02136  0.001575    0.0475       141       640    0.8897    0.8355    0.8656    0.6289    0.5827   0.02749   0.02122  0.002721
   170/299       18G   0.02464   0.02132  0.001547   0.04751       232       640    0.8999    0.8312    0.8674      0.62     0.582   0.02745   0.02121  0.002847
   171/299       18G   0.02437   0.02124  0.001497   0.04711       140       640     0.899    0.8271    0.8712    0.6205    0.5819   0.02744   0.02118  0.003122
   172/299       18G   0.02419   0.02135  0.001535   0.04708       106       640    0.8969    0.8276    0.8696    0.6213    0.5829   0.02745   0.02115  0.003205
   173/299       18G   0.02415   0.02119  0.001578   0.04692       155       640    0.9025    0.8251    0.8694    0.6272    0.5844   0.02746   0.02118  0.003253
   174/299       18G   0.02435   0.02146  0.001572   0.04738       131       640    0.8995    0.8282    0.8685    0.6245     0.582   0.02745   0.02118    0.0033
   175/299       18G   0.02457   0.02151  0.001589   0.04766       163       640    0.8963    0.8313    0.8694    0.6242    0.5816   0.02746    0.0212  0.003308
   176/299       18G   0.02436   0.02144  0.001572   0.04736       179       640    0.8884    0.8429    0.8731    0.6202    0.5814   0.02745   0.02127  0.003278
   177/299       18G   0.02432   0.02155  0.001522    0.0474       124       640    0.8899    0.8355    0.8711    0.6234    0.5828   0.02745   0.02124  0.003232
   178/299       18G     0.024   0.02117  0.001514   0.04668       156       640    0.8831    0.8419    0.8717     0.623    0.5808   0.02743   0.02119   0.00327
   179/299       18G   0.02415   0.02101  0.001522   0.04668        98       640    0.8912    0.8402    0.8707    0.6223    0.5811   0.02742   0.02127  0.003307
   180/299       18G   0.02422   0.02092  0.001517   0.04666       116       640    0.9019    0.8398    0.8738    0.6247    0.5817   0.02742   0.02131  0.003337
   181/299       18G   0.02378   0.02069  0.001489   0.04595       105       640    0.8959    0.8365    0.8682    0.6271    0.5808   0.02738   0.02131  0.003366
   182/299       18G    0.0243   0.02121   0.00154   0.04704       161       640    0.8969    0.8355    0.8686    0.6267    0.5809   0.02737   0.02128  0.003365
   183/299       18G   0.02409   0.02093  0.001487    0.0465       165       640     0.906    0.8351    0.8706    0.6332    0.5822   0.02738   0.02131  0.003329
   184/299       18G   0.02385   0.02039  0.001506   0.04574       123       640    0.9065    0.8347    0.8738    0.6304    0.5824   0.02738   0.02136  0.003352
   185/299       18G    0.0237   0.02097  0.001497   0.04617       181       640    0.9009    0.8387     0.875    0.6278    0.5825    0.0274   0.02141  0.003282
   186/299       18G   0.02385   0.02098  0.001557   0.04639       199       640    0.8935    0.8418    0.8716    0.6251    0.5823   0.02737   0.02142  0.003231
   187/299       18G   0.02403   0.02099  0.001432   0.04645       161       640    0.8981    0.8395    0.8733    0.6301    0.5842   0.02735   0.02142  0.003341
   188/299       18G   0.02379   0.02051  0.001421   0.04572       193       640    0.8955    0.8455    0.8736    0.6258    0.5831   0.02736   0.02143  0.003413
   189/299       18G   0.02357   0.02067  0.001516   0.04575       162       640    0.8946    0.8447    0.8724    0.6271    0.5847   0.02733   0.02142  0.003417
   190/299       18G   0.02374   0.02087  0.001461   0.04607       224       640     0.903    0.8315    0.8692    0.6242    0.5854   0.02732   0.02142   0.00343
   191/299       18G    0.0236   0.02055  0.001412   0.04556       210       640    0.8907    0.8461    0.8737    0.6277    0.5864   0.02734   0.02143  0.003439
   192/299       18G   0.02325   0.02051   0.00142   0.04518       172       640    0.8978    0.8414    0.8738     0.632    0.5873   0.02732   0.02145  0.003428
   193/299       18G   0.02309   0.02057  0.001404   0.04506       196       640    0.9012    0.8358    0.8743    0.6288     0.587   0.02732   0.02147  0.003427
